File Path	File Name	Thumbnail	Projection	type	grid	description	image_format	organism	cell_type	cell_subtype	treatment
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_hum-airway-14953vc/jrc_hum-airway-14953vc.zarr/recon-1/em/fibsem-uint8/	jrc_hum-airway-14953vc	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_hum-airway-14953vc/thumbnail.jpg		intensities	em	Human Airway Epithelium, from human primary immortalised nasal basal stem cell progenitors, differentiated using Air Liquid Interphase (ALI) cultures	zarr				
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_jurkat-1/jrc_jurkat-1.zarr/recon-1/em/fibsem-uint8/	jrc_jurkat-1	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_jurkat-1/thumbnail.jpg		intensities	em	Immortalized T-Cells (Jurkat)	zarr	Homo sapiens	Cell culture	Jurkat	Wild-type
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_macrophage-2/jrc_macrophage-2.zarr/recon-1/em/fibsem-uint8/	jrc_macrophage-2	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_macrophage-2/thumbnail.jpg		intensities	em	Macrophage cell	zarr	Homo sapiens	Cell culture	Macrophage	Wild-type
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-dorsal-striatum/jrc_mus-dorsal-striatum.zarr/recon-2/em/fibsem-int16	jrc_mus-dorsal-striatum	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-dorsal-striatum/thumbnail.jpg		intensities	em	Mouse dorsal striatum	zarr	Mus musculus	Tissue	Brain	
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-granule-neurons-1/jrc_mus-granule-neurons-1.zarr/recon-2/em/fibsem-int16	jrc_mus-granule-neurons-1	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-granule-neurons-1/thumbnail.jpg		intensities	em	Cultured mouse cerebellar granule neurons	zarr	Mus musculus	Cell culture	Brain	
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-granule-neurons-2/jrc_mus-granule-neurons-2.zarr/recon-2/em/fibsem-int16	jrc_mus-granule-neurons-2	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-granule-neurons-2/thumbnail.jpg		intensities	em	Cultured mouse cerebellar granule neurons	zarr	Mus musculus	Cell culture	Brain	
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-granule-neurons-3/jrc_mus-granule-neurons-3.zarr/recon-2/em/fibsem-int16	jrc_mus-granule-neurons-3	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-granule-neurons-3/thumbnail.jpg		intensities	em	Cultured mouse cerebellar granule neurons	zarr	Mus musculus	Cell culture	Brain	
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-heart-1/jrc_mus-heart-1.zarr/recon-1/em/fibsem-uint8/	jrc_mus-heart-1	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-heart-1/thumbnail.jpg		intensities	em	P7 Mouse heart	zarr	Mus musculus	Tissue	Heart	Wild-type
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-kidney/jrc_mus-kidney.zarr/recon-1/em/fibsem-uint8/	jrc_mus-kidney	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-kidney/thumbnail.jpg		intensities	em	Mouse Kidney	zarr	Mus musculus	Tissue	Kidney	Wild-type
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-kidney-2/jrc_mus-kidney-2.zarr/recon-1/em/fibsem-uint8/	jrc_mus-kidney-2	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-kidney-2/thumbnail.jpg		intensities	em	Mouse kidney	zarr	Mus musculus	Tissue	Kidney	Wild-type
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-kidney-3/jrc_mus-kidney-3.zarr/recon-1/em/fibsem-uint8/	jrc_mus-kidney-3	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-kidney-3/thumbnail.jpg		intensities	em	P7 Mouse kidney	zarr	Mus musculus	Tissue	Kidney	Wild-type
